Name,Appearance,Aroma,Taste,Palate,Total,Type,Brewery,Pros,Cons,Conclusion,Alcohol,IBU,Size,Date Reviewed,Reviewer,Categories,Tags,Review Text,URL
2013 Singularity Russian Imperial Stout,4.1,4.3,4.0,4.0,,Imperial Stout,Driftwood Brewery,"Full bodied, intense flavour",Slightly masochistic,"Big and very intense Russian Imperial stout
",11.8%,,650,2013-Feb-18,dustansept,"10+%, ABV, Brewery Regions, Driftwood Brewing Co., Stout, Strong Ale, Top BC Beers, Types Of Beer, Vancouver Island Breweries","driftwood, russian imperial stout, stout",Driftwood Brewery seems to have a knack with their seasonal beers. One beer that has become a bit of a legend is the Singularity Russian Imperial Stout. Being topped with a wax coating this beer is easily cellered but is also quite drinkable today. This black beer pours with two fingers of deep brown head lingering long after being poured. The aroma is sharp with an oak-bourbon smell coming on strong. The smell almost burns the nostrils showing off its impressive 11.8% ABV. The taste is bold. Starting off strong the bourbon flavour is big and ready to take your number. From here the stout kicks it up a notch and truly shows you its back-hand. The oak and bourbon flavours intensify further and give you that warm shiver as the creamy beer makes it down the esophagus. The overall impression is creamy and verging on smooth; but on the other hand it is an abusive partner that is leaves you battered on the floor. The 2013 Driftwood Singularity is a great tasting beer but unless you are slightly masochistic you probably won t like it.,http://beermebc.com/2013/02/18/driftwood-brewery-2013-russian-imperial-stout/
Sasquatch Stout,4.0,4.1,4.2,4.1,,Stout,Old Yale Brewing Co.,Very nice chocolate and hop tones,More of a bitter finish than expected,Deliciosu stout with a west-coast inspiration.,5.0%,,650,2013-Feb-11,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Old Yale Brewing Co., Stout, Top BC Beers, Types Of Beer","best in bc, old yale, stout","The Sasquatch Stout is an award winning release from Chilliwack BC s Old Yale Brewing Company. This stout is extremely dark with absolutely no light making it through its black hole of an appearance. Topped with two fingers of head the smell is smooth with notes of chocolate, toasted malt and a touch of hop bitterness. The Sasquatch s taste starts off light and mild; this builds into a creamy center where the chocolate starts to show its face. It is not until the bitter-end that the hops show up but they are actually stronger than one would anticipate. The balance of chocolate and hop give this creamy stout depth, sophistication and a high drink-ability factor that leaves me reaching for more.",http://beermebc.com/2013/02/11/old-yale-brewing-co-sasquatch-stout/
2012 Woolly Bugger Barley Wine,3.8,4.0,4.0,4.2,,Barley Wine,Howe Sound Brewing,Nice hop tones for a Barley Wine,Be Prepared!,Big and intense but rather smooth Barley Wine,11%,75,341,2013-Feb-07,dustansept,"10+%, ABV, Barley Wine, Brewery Regions, Greater Vancouver Breweries, Howe Sound Brewing Co., Top BC Beers, Types Of Beer","barley wine, best of bc, howe sound","The Howe Sound Brewing Woolly Bugger is a limited release Barley Wine that comes in a unique 341 ml single bottle. This extra strong ale shins a vibrant amber-red colour topped with three fingers of fluffy and thick head. Through this thick top layer comes a surprisingly mellow aroma of a bourbon whiskey, citrus, hops and a hint of oak. When tasting a barley wine one must be prepared. This is an easier drinking ale than its competitors though with a smooth and creamy texture. A light whiskey flavour shows its face here with chocolate and a hop bitterness that also helps to mellow the 11% ABV. The mellowing bitterness makes sense when you realize that the IBU is a massive 75. Of the Barley Wines hitting the shelves in 2012 this is one of the top few. The smaller bottle is a plus as well as a standard 650ml can be a little rough if you are not sharing.",http://beermebc.com/2013/02/07/howe-sound-brewing-2012-woolly-bugger-barley-wine/
Old Jalopy Pale Ale,4.1,4.0,4.0,4.2,,Pale Ale,Powell Street Craft Brewery,"Great label, great taste",Hard to find in BC retailers.,Delicious Pale Ale epitomizing BC beer.,5.5%,40,650,2013-Feb-06,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Pale Ale, Powell Street Brewing Co., Top BC Beers, Types Of Beer","pale ale, powell st","Powell St. Brewery is the new kid on the block for BC breweries. Calling the new  Brewery District  of East Vancouver home the Old Jalopy is a Pale Ale in their fresh lineup. The bottle is adorned with a beautiful label that is both classy and artistic. The beer is a cloudy, amber colour with two fingers of head. The head settles at a moderate pace leaving a thick film on the glass. Smelling this beer it has notes of florality and citrus that run along side a piney, northwest style hop. A mid-bitter hop is paired with a citrus flavour that contrasts quite nicely in a smooth and well balanced beer. A slightly smoked finish balances with the hop bitterness to give another level of uniqueness to the flavour profile. Overall this is a nice tasting pale ale that plays tribute to traditional brewing techniques. It is easy to drink and tastes great; if you can make your way down to the brewery pick up a bottle and you won t be disappointed.",http://beermebc.com/2013/02/06/powell-street-craft-brewery-old-jalopy-pale-ale/
Triumph Rye Ale,4.0,4.0,4.3,4.1,,Rye,Coal Harbour Brewing Co.,Great balance and level rye flavour,Limited release and hard to find,Unique Rye-forward flavour,5.25%,38,650,2013-Jan-31,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Coal Harbour Brewing Co., Greater Vancouver Breweries, Rye Ale, Top BC Beers, Types Of Beer","best in bc, coal harbour, rye","The Coal Harbour Brewing Co. has been brewing some great beer since their opening just this past year. One new ale that they have come up with is the Triumph Rye Ale. Rye Ales have become trendy over the last couple years with a smooth and unique flavour. This particular Rye Ale is a copper colour that is as transparent as (copper coloured) glass. Two fingers of head top this ale as it settles moderately fast leaving a thick residue clinging to the glass. A mild, malted aroma comes through the head with a light, northwest style hop bitterness tied to it. Flavour here is quite nice. A mellow start builds into a hop bitterness quickly. This is compounded by a peppery spice and caramel sweetness leaving the palate with a complex and unique flavour palate. The Triumph Rye Ale is a wonderful rendition of a new style beer. Coal Harbour has managed to take signature northwest attributes and pair them with the rye malt to create a delicious, smooth and very drinkable beer.",http://beermebc.com/2013/01/31/coal-harbour-brewing-co-triumph-rye-ale/
Old Barrel Dweller Barley Wine,3.6,4.0,4.3,4.1,,"Barley Wine, Barrel Aged",Driftwood Brewery,Smooth with a whiskey back,Strong in every sense,"Great, barrel aged Barley Wine.",11.8%,,650,2013-Jan-23,dustansept,"10+%, ABV, Barley Wine, Brewery Regions, Driftwood Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","barley wine, barrel aged, best in bc, driftwood","Barley Wines are an acquired taste and when you throw the barrel aging process into the mix even fewer step up to the plate. That said, the barrel aging actually mellows the harshness that is attributed with many barley wines. The Old Barrel Dweller is a Kentucky Bourbon barrel aged Barley Wine. It is aged for three months to give it a strong, smooth and full bodied flavour",http://beermebc.com/2013/01/23/driftwood-brewery-old-barrel-dweller-barley-wine/
Hermannator Ice Bock,4.1,4.2,4.4,4.0,,"Bock, Ice Bock",Vancouver Island Brewery,Creamy and intense flavour,Very strong and dark,"Big, bold and intense Winter beer",9.5%,,6,2013-Jan-09,dustansept,"9.0% - 9.9%, ABV, Bock, Brewery Regions, Top BC Beers, Types Of Beer, Vancouver Island Breweries, Vancouver Island Brewery","bock, extra strong ale, vancouver island","The Hermannator is an Ice Bock by Vancouver Island Brewery and is one of the best known winter seasonal ales in British Columbia. Back for another year the Hermannator pours into the class as a near black ale with one finger of head. The head disperses very quickly giving an aroma of chocolate and toasted malts. The flavour is creamy with chocolate and caramel that run along side the expected strong ale flavour. The alcohol content is quite apparent at 9.5% but the creamy texture helps to smooth this stiff drink. The colour, ABV and intensity of this beer will shake off some of those who try, but if you can handle it you will undoubtedly like this beer.",http://beermebc.com/2013/01/09/vancouver-island-brewery-hermannator-ice-bock/
Gathering Storm Cascadian Dark Ale,4.4,4.2,4.6,4.5,,Cascadian Dark Ale,Howe Sound Brewing,Great cascadian flavour in a dark and delicious package,Hard to find,Delicious and unique CDA,6.8%,76,1000,2012-Dec-18,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Dark Ale, Greater Vancouver Breweries, Howe Sound Brewing Co., Top BC Beers, Types Of Beer","best ov bc, cascadian dark ale, cda, howe sound",Most people would say that the Howe Sound Gathering Storm Cascadian Dark Ale doesn t even exist. This beer sold out before it hit the shelves of most craft retailers. The colour is a dark brown with 2+ fingers of head topping the glass. The head is thick and settles slowly. The smell coming off this beer is thick with chocolate and a crisp Northwest style  Cascadian  hop. The flavour is full and heavy with notes of coffee and chocolate masking the strong hop bitterness. This beer has a perfect balance of sweetness and bitterness giving the palate something to be excited about. As a seasonal beer this combines the best of a dark and full flavour with the hoppyness of a crisp IPA. This is a great tasting beer.,http://beermebc.com/2012/12/18/howe-sound-brewing-gathering-storm-cascadian-dark-ale/
Gratitude Winter Warmer,4.1,4.0,4.2,4.1,,Winter Ale,Hoyne Brewing Co.,"Mild, Strong Ale flavour in fantastic packaging",Extremely limited,"Delicious beer in a unique, gift inspired package.",9.0%,,650,2012-Dec-17,dustansept,"9.0% - 9.9%, ABV, Brewery Regions, Hoyne Brewing Co., Strong Ale, Top BC Beers, Types Of Beer, Vancouver Island Breweries, Winter Ale","hoyne, winter ale","The Gratitude Winter Warmer is special; it is so special that it comes gift wrapped for the holiday season. Once through the shell of packaging, the bottle s label is covered with inspirational words to get you through family in this time of giving. Really though, beer itself is best used to escape the stresses of the holidays. This beer pours a mildly opaque, amber brown colour with a finger and a half of thick and creamy head. The smell is actually quite mild given the 9% rating on this beer. Toasted vanilla notes join the malted nature of this ale, foreshadowing a smooth and warming, but mild winter flavour. The taste is very smooth. Vanilla notes hit the tongue in a slippery and intense flavour explosion. A touch of nutmeg and allspice join in a festively spiced but not over-the-top flavour portfolio. I would not peg this at 9% from the flavour as it tastes of an ale of a much lesser alcohol content. It is a great winter seasonal beer and if you see it, grab a bottle before it sells out!",http://beermebc.com/2012/12/17/hoyne-brewing-co-gratitude-winter-warmer/
Vienna Lager,3.9,4.2,4.2,4.0,,Lager,Coal Harbour Brewing,"Quality, traditional lager",Hard to find,Traditional lager that is very satisfying,5.3%,22,650,2012-Dec-13,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Coal Harbour Brewing Co., Greater Vancouver Breweries, Lager, Top BC Beers, Types Of Beer","coal harbour, lager","The Coal Harbour Vienna Lager has a thin head topping the golden-straw coloured brew. the head settles quickly giving off a smooth malted aroma with just a kiss of honey. The taste of this small batch lager is quite nice. It starts off crisp with german malt and settles into a light hop finish giving a touch of bitterness. THis beer doesn t have the drawn out malt notes that can make a lager seem redundant and sometimes stale. This tastes fresh, crisp and leaves a neutral palate ready for another taste. As far as traditional german style lagers go this is a winner. It may be hard to find but if you see this unassuming bottle at your local craft retailer grab a bottle or three; it is worth it.
Alcohol   5.3%
IBU   22
Size   650ml
Price   $6.15 (Cold Beer and Wine)
coalharbourbrewing.com",http://beermebc.com/2012/12/13/coal-harbour-brewing-vienna-lager/
Salty Scot Sea Salted Caramel Scotch Ale,3.8,4.1,4.2,4.0,,Scotch Ale,Parallel 49 Brewing Co.,Subtle salty goodness in a smooth Scotch Ale,Bigger than your typical Scotch Ale,A smooth and big flaovoued Scotch Ale with a hit of salted caramel,7.5%,,650,2012-Dec-07,dustansept,"7.0% - 7.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Parallel 49 Brewing Co., Scotch Ale, Top BC Beers, Types Of Beer","parallel 49, scotch ale","The Salty Scot comes from Parallel 49 Brewing Company as a winter seasonal. This Sea Salted, Caramel Scotch Ale pours into the glass a chestnut-brown colour with two full fingers of dense and lacing head. From the Salty Scot comes an aroma of caramel, oak and a sweet, big bodied Scotch Ale. The big aroma forecasts a strong, and full flavoured winter seasonal.  The body is relatively big with a mild flavour given the expectation. A light oakiness lingers over the taste experience as a smooth, vanilla-caramel flavour takes charge of the palate. A fairly strong sweetness is joined by a briny-salt infusion to intensify the flavour and body. Behind it all is a solid Scotch Ale flavour with depth and traditional characteristics. The 7.5% alcohol rating is not suprising given the body and flavour but is by no means apparent. The Salty Scott is smooth, flavourful and a delicious winter treat from the brewing team at Parallel 49 Brewing Company.",http://beermebc.com/2012/12/07/parallel-49-brewing-co-salty-scot-sea-salted-caramel-scotch-ale/
Black Christmas C.D.A.,4.0,4.2,4.3,3.9,,Dark Ale,Parallel 49 Brewing Co.,Great hop flavour in a delicious Dark Ale,Poorly defined category,"Delicious West Coast flavour in a dark, winter brew.",5%,65,650,2012-Nov-27,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Dark Ale, Greater Vancouver Breweries, Parallel 49 Brewing Co., Top BC Beers, Types Of Beer","cascadia, cascadian dark ale, cda, parallel 49","In light of the recent turmoil about a certain word that starts with a  C  and ends in  ascadia  The Black Christmas Ale is simply followed by the unassuming letters  C.D.A. , This Christmas ale is dark, nearly black in colour and pours with a mid-level, evenly dispersing head. The aroma is full with Cascadian North-West style hop and a touch of caramel. Tasting this beer the flavour starts with a smooth, lightly bitter body which builds into a piney-hop bitterness. The finish has much of the hop flavour lingering with notes of caramel, and maybe even the slightest bit of chocolate. The hop flavour dominates here but the dark body adds another depth to the beer that is smooth and very enjoyable.",http://beermebc.com/2012/11/27/parallel-49-brewing-co-black-christmas-c-d-a/
Tin Hat IPA,4.1,4.0,4.5,4.2,,India Pale Ale,Townsite Brewing Inc.,Smooth hop flavour,Hard to find,delicious and smooth India Pale Ale,5.6%,55,650,2012-Nov-21,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Greater Vancouver Breweries, IPA, Top BC Beers, Townsite Brewing Inc., Types Of Beer","best of bc, ipa, townsite brewing",The Tin Hat IPA is an amber brown colour that pours with a full 2 1/2 fingers of head. The head disperses with a thick residue clinging to the glass. The aroma is pure with Northwest style hop and little of anything else. The taste of this traditional Northwest IPA is well hopped with a smooth and creamy note that helps it go down. The flavour of this beer is reminiscent of an IPA with a much higher ABV rating but it comes in at a modest 5.6%. The taste is pure with a light sweetness tied to it and a pleasant mid-bitter finish. The Townsite Brewing Tin Hat IPA is a great tasting beer that is worth trying again and again. The hardest part about enjoying this beer is finding it. The Townsite roster of beers is hard to find outside of the sunshine coast and select cold beer and wine locations.,http://beermebc.com/2012/11/21/townsite-brewing-inc-tin-hat-ipa/
Naughty Hildegard ESB,3.9,4.5,4.5,4.3,,Extra Special Bitter,Driftwood Brewing Co.,Great hopped flavour with English inspiration,Big hop flavour for an ESB,Delicious and relatively traditional ESB,6.5%,,650,2012-Nov-14,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Driftwood Brewing Co., ESB, Top BC Beers, Types Of Beer, Vancouver Island Breweries","driftwood brewery, ESB","The Naughty Hildegard pours into the glass with a head that measures about a finger thick. It is thick, smooth and fluffy but settles rather quickly. The smell hits the nose with plenty of hop. By the aroma I would place this more as an IPA than the declared ESB label. There is a touch of floral and tropical fruit in the aroma that helps to mellow the hop bitterness. The taste is delightful, it is smooth, hoppy and has an almost sour touch to it in a slightly floral and almost toasted taste. This one is actually hard to put a finger on but overall the taste is less hoppy that the aroma might suggest. The nature of this beer verges on IPA status but has a high likability factor through the complexity and uniqueness in the overall flavour. Hildegard Von Bingen would be proud to have this beer brewed in her honour.",http://beermebc.com/2012/11/14/driftwood-brewing-co-naughty-hildegard-esb/
Crooked Coast Altbier,4.1,4.0,3.9,4.2,,"Altbier, Amber Ale",Driftwood Brewing Co.,"Nice, Crisp Altbier Flavour",Heavy on the citrus tones,"A nice, sessionable and delicious Altbier",5.1%,,650,2012-Nov-08,dustansept,"4.0% - 4.9%, ABV, Amber Ale, Driftwood Brewing Co., Tettnanger Hops, Top BC Beers, Types Of Beer, Types of Hops, Vancouver Island Breweries","Amber Ale, driftwood brewery","The Crooked Coast Altibeer is an Amber Ale which pours a lightly opaque dark-amber colour. The head is a finger and a half thick and settles into a light film lacing the glass. The scent is sweetened with floral notes, a malty base and a distinct German hop. The flavour starts off crisp with citrus notes of grapefruit and orange building into a well-bodied caramel centre. This fruit flavour settles into a lightly bittered hop finish along side the distinct slightly burnt, caramel flavours which carry on from the midsection. This German Alt-style beer is crisp and refreshing with a bold and traditional german style flavour to match. As one of the go-to favourites for BC Craft Beer drinkers this beer has earned its place on the liquor store shelves and in the door of your fridge.",http://beermebc.com/2012/11/08/driftwood-brewing-co-crooked-coast-amber-ale/
Green Reaper Fresh Hop IPA (2012),4.0,4.1,4.2,4.0,,"Fresh Hop, India Pale Ale",Phillips Brewing Co,"Refreshing, flavourful IPA",Not overly hoppy,Delicious and fairly mellow Fresh Hopped-IPA,6.5%,,650,2012-Nov-07,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Fresh Hop, IPA, Phillips Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","best of bc, fresh hop, ipa, phillips","The Green Reaper is a Fresh Hop IPA offered from the Phillips Brewing Co. The beer pours with a thick set of fingers in a fluffy head. The colour is a golden colour that verges on amber. The smell is light, fresh and has a distinct hop to it. Where a traditional dry-hopped IPA has a sharpness to it this is mellow and smooth while maintaining the flavour of a quality NorthWest Hop. The beer is smooth, flavourful and has a touch of citrus to it. This is easy drinking and very enjoyable, where Phillips tends to take things over the top and debatably push a beer s uniqueness a little too far the Green Reaper finds a happy home between the traditional and way out there..",http://beermebc.com/2012/11/07/phillips-brewing-co-green-reaper-fresh-hop-ipa-2/
Signature Pale Ale,4.0,4.2,4.5,4.3,,Pale Ale,Steamworks Brewing Co.,"Smooth, balanced and delicious Pale Ale",Not terribly unique,A classic and delicious BC-inspired Pale Ale.,5.2%,35,6,2012-Oct-26,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Pale Ale, Steamworks Brewing Co., Top BC Beers, Types Of Beer","best of bc, pale ale, steamworks","The Steamworks Pale Ale is an amber/copper colour topped with a light coating of head. The aroma has a bit of hop to it along with a touch of sweetness that seems lightly toasted. The overall smell is very pleasant and makes for a beer that is difficult to resist. The flavour is smooth with a noticeable malt and mid-level sweetness. In the finish this builds into a hop flavour that leaves the palate lightly bittered holding on to a touch of sweetness that lasts through the experience. This beer is well-balanced, smooth and has a very enjoyable sweetness tied to it. This beer fits very well into the category of Best in BC!",http://beermebc.com/2012/10/26/steamworks-brewing-co-signature-pale-ale/
Pilsner,4.1,4.2,4.3,4.0,,Pilsner,Steamworks Brewing Co.,Great malt tones with a hopped finish,Hoppy for a Pilsner,One of BC's top Pilsners,5%,30,6,2012-Oct-21,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Lager, Pilsner, Saphir Hops, Steamworks Brewing Co., Top BC Beers, Types Of Beer, Types of Hops","pilsner, steamworks","I have eyed up the Steamworks Pilsner for some time now. With the launch of their line of bottled beers this was always a beer that I had great expectations for. Following the BC beer Awards this beer had some extra hardware tied to it making the story all the more compelling. Without further adieu, the Steamworks Brewing Co.   Pilsner. This beer is golden in colour and pours into the glass with a thick finger of head. The aroma is full of malt as a traditional pilsner should be. There is a slight hop to the smell but the malted notes take priority. The taste starts off with a crisp malt and a well carbonated flavour. There is a touch of citrus that comes in before a lightly bittered finish. This Pilsner is more crisp than expected in the start and finishes off with a greater than expected hop kick. While traditional may be slightly bland this is just a touch more   giving it enough to really be unique and enjoyable while keeping within the reigns of tradition.",http://beermebc.com/2012/10/21/steamworks-brewing-co-pilsner/
Dunkel Weizen Dark Wheat Ale,3.9,4.2,4.1,4.0,,Dunkelweizen,Longwood Brewery,Great dark flavours with a wheat-lighness tied to it,Only available in Nanaimo,A delicious and traditional Dunkelweizen,5.5%,,650,2012-Oct-17,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Dunkel Weisen, Longwood Brewpub, Top BC Beers, Types Of Beer, Vancouver Island Breweries","dunkel weisen, longwood","The Longwood Brewpub Dunkel Weizen is a Dark Wheat Ale. It pours a dark, dark brown which light shines though in a reddish hue. The head is mid-level and settles with a film lining the glass  perimeter. Smelling this beer the aroma is light and subtle. Notes of nutty chocolate take charge and don t let anything else sneak through. The taste is quite light. The malt notes come through strong up front and settle into a chocolate, nut filled finish that is still light, easy drinking and not overpowering. The wheat-base does not really show itself as one could easily mistake this for a dark lager style beer. The Dunkel Weisen is a classic style beer and on the light side of things the Longwood does a great job making a highly drinkable, flavourful beer.
Alcohol   5.5%
Size   650ml
Only available at the brewpub
Price   $5.50 (brewpub)
longwoodbrewpub.com",http://beermebc.com/2012/10/17/longwood-brewery-dunkel-weizen-dark-wheat-ale/
Lion s Head Cascadia Dark Ale,4.0,4.0,4.1,3.9,,Dark Ale,Spinnakers Brewing Co.,Great Chocolate and Hop flavours,Rather bitter finish,A delicious dark ale with a ton of hops.,6.5%,55,,2012-Oct-15,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, Dark Ale, Spinnaker's Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries","best of bc, dark ale, spinnakers","The Casciadian Dark Ale is a deep brown colour that shines through with a reddish tinge. This beer pours with a thin, light head and smells of a malty chocolate. Tasting this Victoria based brew the carbonation is light and the malty start builds into a roasted chocolate, coffee, hop bittered finish. While the flavour is bold the overall feel is still quite light and easy to drink. This beer is a BC take on a British style ale, it is enjoyable, flavourful and leaves the tongue curious for more. The Spinnakers Cascadia Dark Ale is an excellent beer worth fighting for in the world of small BC breweries.",http://beermebc.com/2012/10/15/spinnakers-lions-head-cascadia-dark-ale/
Pumpkineater Imperial Pumpkin Ale,3.9,4.3,4.3,4.4,,Pumpkin Ale,Howe Sound Brewing,Smooth and delicious with a big body and spicy flavour,"Only a seasonal choice. All spice, no pumpkin.","Delicious, well spiced and slightly boozy Pumpkin Ale.",8%,19,1000,2012-Oct-07,dustansept,"8.0% - 8.9%, ABV, Brewery Regions, Greater Vancouver Breweries, Howe Sound Brewing Co., Pumpkin, Strong Ale, Top BC Beers, Varietal","howe sound, pumpkin ale, seasonal","The Howe Sound Pumpkineater is an Imperial Pumpkin Ale. From the 1l, resealable bottle the beer pours a reddish-copper colour and is topped with a finger and a half of very lightly lacing head. At a high (by pumpkin standards) 8% alcohol level, the Pumpkineater pours with a strong ale sharpness next to the big pumpkin-spice aroma. Strong scents of nutmeg, cinnamon, clove, and of course pumpkin come through on the nose. The smell radiates autumn notes that remind me of a soon-to-be thanksgiving dinner.  Tasting the beer, Pumpkin is not necessarily the first thing that may come to mind. It is definitely reminiscent but the flavour is deep and rich with spice tones such as of clove, cinnamon and nutmeg. Pumpkin does not come in to play but the spice profile is bang on for a delicious slice of pumpkin pie. A light hop flavour shines through a spicy malt-forward body to complete the package. The Pumpkin Eater is a well-balanced, flavourful and very enjoyable, big bodied fall seasonal beer.",http://beermebc.com/2012/10/07/howe-sound-brewing-pumpkin-eater-imperial-ale/
Dark Matter,4.3,4.6,4.8,4.5,,"Brown Ale, Porter",Hoyne Brewing Co.,Great dark flavour with easy drinking taste,Doesn't fit classical style,Delicious and complex Dark Ale,5.3%,,650,2012-Oct-06,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Brown Ale, Dark lager, Hoyne Brewing Co., Porter, Top BC Beers, Types Of Beer, Vancouver Island Breweries",hoyne,"The Dark Matter pours a deep chocolate brown colour with a thick and frothy head which leaves significant lacing on the glass s sides. This beer smells of a chocolate and nut with a solid malt base and a touch of northwest hops to go with it. The taste starts off very smooth and light then a chocolate flavour starts to take over. This chocolate taste melds into a strong coffee finish that leaves the mouth waiting for more. Hoyne labels this beer as  Definitely not a stout, far from a porter, hardly a brown ale.  While this doesn t leave a lot of options the taste resembles somewhere between a Brown ale and a Porter but not really either specifically. This beer has great dark flavour but tastes with the ease of a much lighter beer.",http://beermebc.com/2012/10/06/hoyne-brewing-co-dark-matter/
Black Stone Porter,4.6,4.5,4.8,4.5,,Porter,Driftwood Brewing Co.,Bitter sweetness in a delicious Porter,Heavy and dark for a Porter,"A delicious, well bodied Porter with nice coffee and chocolate tones",6.0%,,650,2012-Oct-02,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Driftwood Brewing Co., Porter, Top BC Beers, Types Of Beer, Vancouver Island Breweries","driftwood, Porter","The Black Stone Porter has been a longstanding staple of the Driftwood Brewery beer lineup. While it has been in the roster for some time the beer has actually changed over the years. While it used to come in at 5.1% the ABV now sits at a more formidable 6.0%. When you pour the beer fro m it s beautifully labeled bomber bottle it appears as a deep, black colour and is topped with two fingers of dark and heavily lacing head. An aroma of rich chocolate and coffee comes through with a toasty malt base in a deep and delicious manner. The aroma is bigger than your typical Porter may exude. On the tongue this beer has a big body and a very creamy texture to it. The coffee and chocolate notes take charge and with that creaminess give an almost mocha like sensation. The Black Stone Porter used to be good and now it is great! It is on the heavy end of the spectrum but is also one of the top Porters available in BC!",http://beermebc.com/2012/10/02/driftwood-brewing-co-blackstone-porter/
White Bark Wheat Ale,4.2,4.2,4.5,3.9,,Witbier,Driftwood Brewing Co.,Smooth and delicious Witbier,Quite light body,"Very enjoyable, sessionable Witbier",5%,,650,2012-Sep-14,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Driftwood Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries, Wheat Beer","driftwood, wheat ale","The Driftwood White Bark Wheat Ale pours a lightly clouded, whitish-yellow colour. This is topped with a thick head that is as white as fresh linens. The aroma is strong of coriander with an orange, citrus florality that hits the nose immediately. A spicy malt first hits the tongue where the coriander is strong. This settles slightly to let the orange peel notes peek through before finishing again with coriander. The strongest part of this ale is definitely the smell while the taste is surprisingly more mellow than expected. The spicy, citrus flavour is still strong but not so far as to make you forget that it is still a beer, and a good one at that.",http://beermebc.com/2012/09/14/driftwood-brewing-co-white-bark-wheat-ale/
Seasonal Ale,3.9,4.1,4.2,4.0,,Pale Ale,Bridge Brewing Co.,Smooth and delicious Pale Ale,"Extremely limited, not bottled",Very tasty beer that is only available at the brewery.,5.5%,,1900,2012-Sep-03,dustansept,"5.0% - 5.9%, ABV, Brewery Regions, Bridge Brewing Co., Greater Vancouver Breweries, Pale Ale, Top BC Beers, Types Of Beer","best of bc, bridge brewing, pale ale","The Bridge Brewing Company may be new at the BC Beer game but this beer does not show it. The Seasonal Ale pours a deep amber colour with a mid-thick head. The smell is strong of caramel and honey with a touch of hop. Upon tasting this brew the nose is confirmed with a creamy-malt start that builds into a honey sweetened, hoppy finish. The hop is distinct and cuts the sweetness into an easy to drink ale. While this may be the first beer that the Bridge Brewing Co has released, they did their homework. This is a beer with great texture and taste that is sure to become a North Vancouver favourite. Unfortunately Bridge is considered a  nano-brewery  and so this is only available in growlers from the brewery or at a very select number of restaurant locations. Given the taste of this beer, availability should hopefully be improving soon.",http://beermebc.com/2012/09/03/bridge-brewing-co-seasonal-ale/
Electric Unicorn White IPA,3.8,4.2,4.1,4.0,,White India Pale Ale,Phillips Brewing Co.,Nice balance of wheat and hops,Heavy on the orange peel flavour,"A big and strong, citrusy White IPA",6.5%,,650,2012-Aug-30,dustansept,"6.0% - 6.9%, ABV, Brewery Regions, IPA, Phillips Brewing Co., Top BC Beers, Types Of Beer, Vancouver Island Breweries, Wheat Beer","best of bc, ipa, phillips, wheat, white ipa","The Electric Unicorn White IPA is an opaque golden colour that pours with a relatively thin head. The aroma of orange peel, coriander and the slightest of  clove come through before tasting. Upon the brew first touching your lips the taste is light and crisp. This lightness settles into a lightly bitter citrus flavour that finishes with a taste of coriander and orange peel. The Wheatiness of this beer is apparent throughout but does not make for a heavy, thick beer as many wheat beers can be. Much of the IPA hop in this is masked by the tart, bitterness of the orange peel but it makes for a solid base for the other flavours to project. Overall the electric Unicorn has strong but balanced flavours and is a great end to a hot day. This may not be an everyday drinker but has great flavour balance and is overall quite enjoyable.",http://beermebc.com/2012/08/30/phillips-brewing-co-electric-unicorn-white-ipa/
